title,release year,ranking,rating
Gisaengchung,2019,no change,8.6
The Invisible Man,2020,up,7.5
Knives Out,2019,up,8.0
Sonic the Hedgehog,2020,down,6.8
Candyman,2020,up,None
The Last Thing He Wanted,2020,up,4.3
Jojo Rabbit,2019,down,8.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,down,6.5
The Call of the Wild,2020,up,6.9
1917,2019,down,8.4
The Gentlemen,2019,up,8.1
Uncut Gems,2019,down,7.6
Once Upon a Time... in Hollywood,2019,down,7.7
Joker,2019,down,8.6
Emma.,2020,no change,7.0
Run,2020,up,None
A Quiet Place Part II,2020,up,None
No Time to Die,2020,down,None
Ford v Ferrari,2019,down,8.1
Candyman,1992,up,6.6
Jumanji: The Next Level,2019,down,6.8
Fantasy Island,2020,down,4.6
Midway,2019,down,6.7
Bombshell,2019,up,6.8
Midsommar,2019,no change,7.1
The Batman,2021,down,None
Frozen II,2019,no change,7.0
Guns Akimbo,2019,up,6.5
Little Women,2019,down,8.0
Doctor Sleep,2019,down,7.4
Girl on the Third Floor,2019,up,4.7
Dark Waters,2019,up,7.6
Charlie's Angels,2019,down,4.4
The Lighthouse,2019,down,7.7
The Hunt,2020,up,None
The Irishman,2019,down,7.9
Onward,2020,up,7.7
Bad Boys for Life,2020,down,7.2
Portrait de la jeune fille en feu,2019,up,8.2
Brahms: The Boy II,2020,up,4.3
Rumble,2021,up,None
Color Out of Space,2019,up,6.2
A Beautiful Day in the Neighborhood,2019,down,7.4
Dolittle,2020,down,5.5
A Quiet Place,2018,up,7.5
The Night Clerk,2020,up,5.2
Terminator: Dark Fate,2019,down,6.3
Avengers: Endgame,2019,down,8.5
Marriage Story,2019,down,8.0
Star Wars: Episode IX - The Rise of Skywalker,2019,down,6.8
All the Bright Places,2020,up,6.5
Mulan,2020,up,None
Contagion,2011,up,6.6
After We Collided,2020,down,None
Toy Story 4,2019,down,7.8
Bloodshot,2020,up,5.7
The Lion King,2019,down,6.9
Snowpiercer,2013,down,7.1
To All the Boys: P.S. I Still Love You,2020,down,6.1
Rocketman,2019,up,7.3
21 Bridges,2019,down,6.6
Spies in Disguise,2019,up,6.8
Impractical Jokers: The Movie,2020,up,6.9
Horse Girl,2020,down,5.9
Hustlers,2019,down,6.3
The Matrix 4,2021,up,None
The Way Back,2020,up,7.4
6 Underground,2019,down,6.1
Alita: Battle Angel,2019,down,7.3
The Shawshank Redemption,1994,up,9.3
Shubh Mangal Zyada Saavdhan,2020,up,6.7
The Lodge,2019,up,6.6
Blade Runner 2049,2017,down,8.0
After,2019,up,5.4
Queen & Slim,2019,down,7.0
Tenet,2020,down,None
Titanic,1997,up,7.8
The Godfather,1972,down,9.2
The Dark Knight,2008,down,9.0
Downhill,2020,down,4.9
Pokémon: Mewtwo Strikes Back - Evolution,2019,up,5.8
F9,2020,down,None
Black Widow,2020,down,None
Superman: Red Son,2020,up,6.3
Zombieland: Double Tap,2019,down,6.8
Hidden Figures,2016,up,7.8
The Body,2019,up,5.5
Miracle,2004,up,7.5
Ad Astra,2019,down,6.6
Casino Royale,2006,up,8.0
Mr. Right,2015,up,6.3
Honey Boy,2019,down,7.4
Suicide Squad,2016,down,6.0
Gretel & Hansel,2020,down,5.4
Maleficent: Mistress of Evil,2019,down,6.7
Jumanji: Welcome to the Jungle,2017,up,6.9
Fighting with My Family,2019,down,7.1
It,2017,up,7.3
The French Dispatch,2020,down,None
Bhoot: Part One - The Haunted Ship,2020,up,6.3
